Country,City,Exec_Date,type,Today,Tomorrow,2-days,3-days,4-days,5-days,6-days
Albania,Tirana,4/24/2024,min,9.82349968,8.273499489,7.473499775,9.423500061,9.773499489,11.57349968,13.77299976
Albania,Tirana,4/24/2024,avg,13.79850006,11.62349987,12.6735003,15.07350063,16.92350054,18.44850063,19.72300005
Albania,Tirana,4/25/2024,max,14.62349987,18.12350082,21.07350159,24.67350006,26.52350044,26.6230011,24.47300148
Albania,Tirana,4/25/2024,min,8.12349987,7.62349987,9.673500061,10.37349987,12.12349987,13.47350025,13.47299957
Albania,Tirana,4/25/2024,avg,11.37349987,12.87350035,15.37350082,17.52349997,19.32350016,20.04825068,18.97300053
Albania,Tirana,4/26/2024,max,18.67350006,21.47350121,25.12350082,26.77350044,26.77350044,21.57299995,19.07299995
Albania,Tirana,4/26/2024,min,8.273499489,9.723500252,10.17350006,11.97350025,13.97350025,14.27349949,14.12300014
Albania,Tirana,4/26/2024,avg,13.47349977,15.59850073,17.64850044,19.37350035,20.37350035,17.92324972,16.59800005
Albania,Tirana,4/27/2024,max,21.12350082,25.27350044,26.87350082,27.27350044,21.62350082,20.97300148,23.72300148
Albania,Tirana,4/27/2024,min,10.47350025,10.12349987,11.92350006,13.47350025,13.27349949,12.42299938,11.57299995
Albania,Tirana,4/27/2024,avg,15.79850054,17.69850016,19.39850044,20.37350035,17.44850016,16.69800043,17.64800072
Albania,Tirana,4/28/2024,max,25.22350121,26.57350159,26.77350044,24.82350159,20.32350159,20.3730011,17.92300034
Albania,Tirana,4/28/2024,min,10.17350006,11.42350006,13.02349949,14.92350006,14.07349968,12.87300014,11.67299938
Albania,Tirana,4/28/2024,avg,17.69850063,18.99850082,19.89849997,19.87350082,17.19850063,16.62300062,14.79799986
Albania,Tirana,4/29/2024,max,26.47350121,27.32350159,25.27350044,20.92350006,17.42350006,19.02300072,22.17300034
Albania,Tirana,4/29/2024,min,12.72350025,12.72350025,13.27349949,13.92350006,10.57349968,9.672999382,9.422999382
Albania,Tirana,4/29/2024,avg,19.59850073,20.02350092,19.27349997,17.42350006,13.99849987,14.34800005,15.79799986
Albania,Tirana,4/30/2024,max,25.97350121,25.47350121,20.32350159,15.22350025,15.92350006,18.3730011,22.8730011
Albania,Tirana,4/30/2024,min,12.72350025,13.57349968,13.72350025,11.72350025,10.87349987,10.12300014,9.022999763
Albania,Tirana,4/30/2024,avg,19.34850073,19.52350044,17.02350092,13.47350025,13.39849997,14.24800062,15.94800043
Albania,Tirana,5/1/2024,max,25.02350044,19.17350006,17.02350044,17.07350159,23.57350159,23.37350082,24.92300034
Albania,Tirana,5/1/2024,min,14.52349949,14.42350006,10.62349987,9.973500252,9.32349968,10.97350025,12.02299976
Albania,Tirana,5/1/2024,avg,19.77349997,16.79850006,13.82350016,13.52350092,16.44850063,17.17350054,18.47300005
Albania,Tirana,5/2/2024,max,21.02350044,15.87349987,18.52350044,23.87350082,23.72350121,23.27350044,23.17300034
Albania,Tirana,5/2/2024,min,14.87349987,10.07349968,9.973500252,9.82349968,10.72350025,11.97350025,14.27299976
Albania,Tirana,5/2/2024,avg,17.94850016,12.97349977,14.24850035,16.84850025,17.22350073,17.62350035,18.72300005
Albania,Tirana,5/3/2024,max,15.37349987,18.67350006,23.47350121,23.62350082,23.77350044,23.17300034,26.02300072
Albania,Tirana,5/3/2024,min,10.37349987,9.07349968,9.523499489,11.27349949,11.42350006,14.27299976,15.77299976
Albania,Tirana,5/3/2024,avg,12.87349987,13.87349987,16.49850035,17.44850016,17.59850025,18.72300005,20.89800024
Albania,Tirana,5/4/2024,max,19.17350006,23.42350006,22.87350082,23.12350082,23.47350121,22.32299995,23.57299995
Albania,Tirana,5/4/2024,min,10.92350006,10.07349968,10.92350006,11.97350025,13.87349987,14.37300014,14.82299995
Albania,Tirana,5/4/2024,avg,15.04850006,16.74849987,16.89850044,17.54850054,18.67350054,18.34800005,19.19799995
Albania,Tirana,5/5/2024,max,23.32350159,23.17350006,23.67350006,24.57350159,19.57350159,22.97300148,23.72300148
